"","date","Österreich","Belgien","Bulgarien","Zypern","Tschechien","Deutschland","Dänemark","Estland","Spanien","Finnland","Frankreich","Griechenland","Kroatien","Ungarn","Irland","Italien","Lituaen","Luxemburg","Lettland","Malta","Niederlanden","Polen","Portugal","Rumänien","Schweden","Slovenien"
"112",2020-11-02,0.99,1.2548,0.86768,1.08955,1.00461,1.029,1.14029,0.968,1.01754,1.227,1.20668,1.126,1.12253,1.00164,1.14882,1.25477,0.93455,0.914,0.986,1.21,1.159,0.94596,1.201,0.89566,1.31551,1.00197
"113",2020-10-26,0.986,1.2873,0.86783,1.08955,0.99897,1.044,1.16782,0.968,1.02558,1.224,1.19906,1.132,1.12668,1.00854,1.1414,1.25851,0.93762,0.935,0.99183,1.21,1.179,0.93408,1.207,0.90973,1.32979,1.01453
"114",2020-10-19,1,1.2693,0.86696,1.09107,0.99375,1.048,1.16785,0.948,1.02992,1.231,1.20779,1.132,1.1247,1.00482,1.1447,1.26048,0.94094,0.935,0.996,1.21,1.177,0.93563,1.207,0.90611,1.34131,1.00634
"115",2020-10-12,1.006,1.2509,0.86263,1.09195,0.99827,1.051,1.16754,0.948,1.02987,1.226,1.19976,1.132,1.11315,1.02804,1.1317,1.261,0.94668,0.935,0.99683,1.21,1.179,0.9651,1.203,0.90416,1.33605,0.9993
"116",2020-10-05,1.008,1.2294,0.86108,1.09292,0.99974,1.044,1.15457,0.948,1.02893,1.215,1.19626,1.134,1.10835,1.01889,1.1341,1.26269,0.94682,0.919,1.00217,1.21,1.165,0.97304,1.198,0.89393,1.31378,0.99933
"117",2020-09-28,1.009,1.2437,0.86062,1.0971,0.99554,1.04,1.14022,0.997,1.03046,1.224,1.19466,1.134,1.1151,0.99714,1.1442,1.26494,0.9548,0.919,1.01183,1.21,1.159,0.96503,1.198,0.88195,1.30376,1.00207
"118",2020-09-21,1.015,1.2316,0.86737,1.10291,1.00352,1.05,1.16789,0.997,1.03385,1.23,1.19512,1.136,1.10856,0.99059,1.1479,1.26741,0.95921,0.919,1.01633,1.21,1.162,0.97937,1.211,0.88304,1.33208,0.9988
"119",2020-09-14,1.019,1.2707,0.87903,1.10461,1.01969,1.049,1.14116,0.997,1.04011,1.228,1.20944,1.144,1.13098,1.02225,1.1548,1.27428,0.96696,0.919,1.02933,1.21,1.159,0.98815,1.22,0.88922,1.3141,1.00089
"120",2020-09-07,1.026,1.3051,0.88598,1.09563,1.03453,1.067,1.16784,0.997,1.05479,1.245,1.219,1.154,1.15008,1.03571,1.154,1.28164,0.97379,0.956,1.0385,1.21,1.183,0.99131,1.223,0.91243,1.3387,0.99994
"121",2020-08-31,1.031,1.2908,0.88895,1.09563,1.04697,1.077,1.19427,0.997,1.05943,1.254,1.22788,1.157,1.15422,1.06427,1.1627,1.28519,0.97963,0.956,1.04017,1.21,1.204,1.00105,1.24,0.92122,1.36022,1.00573
"122",2020-08-24,1.024,1.2955,0.87483,1.09644,1.05251,1.082,1.19433,0.997,1.06126,1.258,1.23619,1.157,1.15492,1.07343,1.1718,1.28556,0.97476,0.97,1.03683,1.21,1.207,0.99877,1.241,0.92412,1.35124,1.00645
"123",2020-08-17,1.028,1.301,0.87483,1.09881,1.05386,1.083,1.19377,0.997,1.06122,1.249,1.23671,1.158,1.15936,1.08199,1.1651,1.28455,0.97672,0.97,1.03517,1.21,1.211,0.9979,1.236,0.94098,1.36876,1.00807
"124",2020-08-10,1.026,1.31342,0.87483,1.10108,1.05442,1.085,1.20839,0.997,1.05984,1.268,1.23635,1.157,1.16801,1.08632,1.1664,1.28432,0.97173,0.97,1.0435,1.21,1.212,0.9851,1.236,0.94025,1.38738,1.00362
"125",2020-08-03,1.03,1.3016,0.88736,1.101,1.05076,1.087,1.19518,0.997,1.06096,1.25,1.23534,1.157,1.17865,1.0984,1.1666,1.28834,0.97949,0.97,1.02767,1.21,1.209,0.9791,1.236,0.93466,1.37483,1.00321
"126",2020-07-27,1.028,1.3043,0.88736,1.10097,1.05631,1.097,1.20909,0.997,1.06304,1.205,1.24742,1.159,1.16693,1.11245,1.1621,1.28974,0.98762,0.97,1.058,1.21,1.221,0.97324,1.238,0.94772,1.39368,1.00271
"127",2020-07-20,1.031,1.2677,0.88082,1.10038,1.03846,1.085,1.19495,0.998,1.0605,1.194,1.24463,1.157,1.17056,1.09114,1.1637,1.29083,0.9896,0.97,1.05717,1.21,1.218,0.95916,1.238,0.94868,1.39627,1.00241
"128",2020-07-13,1.027,1.3108,0.87412,1.07313,1.02754,1.091,1.2089,0.999,1.0565,1.185,1.24202,1.155,1.15994,1.08679,1.1562,1.29032,0.97431,0.97,1.04217,1.21,1.224,0.94313,1.235,0.94199,1.39252,1.00134
"129",2020-07-06,1.017,1.2682,0.86323,1.07313,1.0203,1.093,1.19437,0.994,1.04577,1.177,1.22784,1.15,1.15051,1.07822,1.1506,1.28779,0.96152,0.955,1.03467,1.21,1.221,0.93912,1.209,0.94109,1.3821,1.0027
"130",2020-06-29,1.019,1.2584,0.85827,1.07304,0.99911,1.1,1.18072,0.994,1.04034,1.17,1.23032,1.147,1.13608,1.02979,1.1519,1.28553,0.94997,0.955,1.05883,1.21,1.216,0.93907,1.204,0.93421,1.35999,1.00255
"131",2020-06-22,1.01,1.22522,0.8529,1.02308,0.99018,1.102,1.18053,0.994,1.028,1.149,1.21614,1.134,1.12215,1.02863,1.1486,1.27305,0.93149,0.955,1.01133,1.21,1.213,0.94037,1.195,0.92757,1.372,1.00044
"132",2020-06-15,0.999,1.2383,0.8441,1.01516,0.98441,1.089,1.15345,0.994,1.01917,1.156,1.20915,1.124,1.11155,1.02223,1.1426,1.26649,0.91763,0.936,1.01133,1.21,1.198,0.94514,1.184,0.92821,1.33045,1.00071
"133",2020-06-08,0.991,1.2429,0.83644,0.99187,0.98319,1.075,1.15351,0.995,1.00795,1.143,1.19102,1.114,1.08962,1.01774,1.138,1.2604,0.912,0.916,0.998,1.28,1.191,0.94002,1.172,0.91303,1.34134,0.99723
"134",2020-06-01,0.984,1.2325,0.83746,0.9913,0.96757,1.06,1.11336,0.998,1.00188,1.138,1.18539,1.11,1.09032,1.01811,1.1337,1.26085,0.89931,0.898,0.97467,1.28,1.193,0.93935,1.169,0.91156,1.31505,1.00033
"135",2020-05-25,0.983,1.1984,0.8234,0.99128,0.95116,1.054,1.12649,0.997,0.99796,1.132,1.17685,1.106,1.05149,0.97667,1.1338,1.25637,0.90296,0.898,0.93767,1.28,1.199,0.91064,1.163,0.91179,1.2969,0.99813
"136",2020-05-18,0.978,1.1715,0.80913,0.982,0.93281,1.047,1.09996,0.997,0.985,1.159,1.15781,1.092,1.0393,0.94107,1.1376,1.24739,0.87978,0.862,0.89883,1.28,1.191,0.88623,1.139,0.91225,1.25812,0.99593
"137",2020-05-11,0.996,1.1625,0.81685,0.97623,0.92746,1.045,1.08586,0.998,0.9807,1.145,1.16078,1.092,1.00516,0.92921,1.1394,1.25279,0.88337,0.862,0.9055,1.28,1.203,0.87471,1.129,0.91387,1.25851,0.99728
"138",2020-05-04,0.998,1.181,0.83807,1.00577,0.94933,1.043,1.09887,0.999,0.98142,1.179,1.1663,1.096,1.0029,0.90711,1.1444,1.26715,0.90306,0.835,0.91467,1.28,1.202,0.882,1.126,0.91477,1.23167,0.9967
"139",2020-04-27,1.012,1.16417,0.86537,1.06252,0.96174,1.045,1.07252,1.238,0.9998,1.192,1.19408,1.121,1.04747,0.91853,1.155,1.28706,0.92811,0.835,0.92067,1.28,1.202,0.90215,1.154,0.94486,1.2552,0.99518
"140",2020-04-20,1.026,1.223,0.87724,1.07693,0.97808,1.08,1.13965,1.238,1.02221,1.194,1.21325,1.15,1.07943,0.93214,1.1578,1.30643,0.95206,0.878,0.91883,1.28,1.227,0.91495,1.211,0.96151,1.27146,0.99628
"141",2020-04-06,1.06,1.2091,0.90965,1.1157,0.9892,1.109,1.16528,1.238,1.03783,1.23,1.23104,1.17,1.09593,0.91654,1.1721,1.32802,0.96795,0.902,0.94183,1.28,1.239,0.9347,1.229,0.96871,1.29067,1.01167
"142",2020-03-30,1.063,1.2194,0.94575,1.13917,1.02211,1.111,1.21874,1.239,1.05741,1.242,1.239,1.191,1.11388,0.93418,1.1936,1.34781,0.97976,0.923,1.02333,1.28,1.238,0.94741,1.226,0.97074,1.29404,1.06712
"143",2020-03-23,1.06,1.2091,1.0091,1.14816,1.03644,1.119,1.21811,1.239,1.08489,1.254,1.25691,1.214,1.14515,0.95414,1.2162,1.36848,1.00467,0.905,1.0896,1.28,1.242,0.96934,1.233,0.97931,1.28926,1.14224
"144",2020-03-16,1.053,1.2525,1.05824,1.2076,1.10727,1.139,1.24446,1.279,1.1278,1.289,1.30122,1.26,1.19087,1.04474,1.3294,1.38903,1.05552,0.989,1.1158,1.28,1.244,1.07008,1.275,1.01586,1.39902,1.17253
"145",2020-03-09,1.117,1.3523,1.08068,1.23154,1.20126,1.189,1.32271,1.279,1.17108,1.353,1.36132,1.311,1.21536,1.11785,1.3294,1.4142,1.1101,1.059,1.162,1.28,1.313,1.13454,1.328,1.06773,1.46106,1.2002
"146",2020-03-02,1.138,1.4172,1.08927,1.23806,1.21759,1.2,1.32209,1.353,1.19006,1.381,1.39155,1.338,1.27427,1.16571,1.3383,1.43216,1.13673,1.084,1.1764,1.28,1.342,1.15205,1.353,1.07337,1.49817,1.19606
"147",2020-02-24,1.171,1.415,1.09454,1.24054,1.23926,1.239,1.3628,1.375,1.20155,1.385,1.39998,1.343,1.26805,1.16684,1.341,1.43942,1.13876,1.115,1.17933,1.28,1.375,1.1726,1.366,1.08976,1.52504,1.19209
"148",2020-02-17,1.16,1.3975,1.10456,1.25471,1.26157,1.24,1.36277,1.375,1.20035,1.394,1.3999,1.344,1.25992,1.16285,1.3498,1.44136,1.13245,1.115,1.164,1.28,1.358,1.19531,1.37,1.0874,1.51448,1.2138
"149",2020-02-10,1.176,1.4063,1.11008,1.27488,1.25334,1.24,1.34896,1.309,1.20624,1.407,1.40279,1.351,1.27109,1.15964,1.3567,1.45067,1.14953,1.088,1.22383,1.28,1.355,1.19931,1.373,1.09791,1.49904,1.23901
"150",2020-02-03,1.186,1.3975,1.11162,1.29107,1.25635,1.247,1.36226,1.326,1.2214,1.428,1.43432,1.368,1.30665,1.18439,1.3662,1.46897,1.16894,1.121,1.26417,1.28,1.37,1.1948,1.387,1.11187,1.4953,1.26232
"151",2020-01-27,1.202,1.4618,1.11499,1.29066,1.26162,1.267,1.40242,1.396,1.23597,1.438,1.46348,1.385,1.32702,1.21004,1.3669,1.48232,1.17643,1.138,1.271,1.28,1.389,1.20693,1.387,1.12371,1.54762,1.28348
"152",2020-01-20,1.209,1.4895,1.11893,1.28471,1.27108,1.284,1.41584,1.41,1.24658,1.461,1.47911,1.395,1.36031,1.24099,1.365,1.48857,1.18009,1.161,1.246,1.28,1.408,1.21707,1.406,1.13526,1.57,1.28549
"153",2020-01-13,1.221,1.4905,1.12062,1.27734,1.27035,1.308,1.45587,1.406,1.25395,1.475,1.49084,1.401,1.36423,1.25773,1.3649,1.49337,1.1788,1.202,1.2695,1.28,1.437,1.22761,1.423,1.13871,1.58687,1.2913
"154",2020-01-06,1.221,1.5205,1.12317,1.27103,1.25892,1.328,1.48263,1.38,1.24707,1.468,1.48412,1.398,1.3687,1.27481,1.3538,1.48921,1.18105,1.134,1.26483,1.28,1.441,1.22456,1.421,1.11578,1.58525,1.27275
