Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],date
21.09.2022,21.09.2022,98756,9084,1152,150657.19999999998,0,0,6.912000000000004,31645.6,371234.8000000001,66594.4,0,9600,2112,21.09.2022
22.09.2022,22.09.2022,40476,9208,1132,132373.19999999998,0,0,6.912000000000004,76048.40000000001,331171.9999999999,66659.99999999999,0,9600,2112,22.09.2022
23.09.2022,23.09.2022,9460,10376,768,141645.59999999998,0,0,6.912000000000004,87365.20000000003,303654,61979.20000000001,0,9600,2112,23.09.2022
24.09.2022,24.09.2022,22052,9060,976,146838.80000000005,0,0,6.912000000000004,42513.600000000006,278692,39300.8,0,9600,2112,24.09.2022
25.09.2022,25.09.2022,8416,5396,1088,34120.80000000002,0,0,6.912000000000004,16728.8,281120.4,44208.40000000001,0,9600,2112,25.09.2022
26.09.2022,26.09.2022,18340,6676,768,115517.99999999999,0,0,6.912000000000004,40131.20000000001,300109.19999999995,37612,0,9600,2112,26.09.2022
27.09.2022,27.09.2022,54628,4236,768,134587.2,0,0,6.912000000000004,73414.79999999997,296599.1999999999,44127.600000000006,0,9600,2112,27.09.2022
28.09.2022,28.09.2022,95476,6920,384,112618,0,0,6.912000000000004,89798.79999999999,295382.8,50390.00000000001,0,9600,2112,28.09.2022
29.09.2022,29.09.2022,19284,4348,708,173434.40000000002,0,0,6.912000000000004,104082.40000000002,284545.59999999986,56204.39999999999,0,9600,2112,29.09.2022
30.09.2022,30.09.2022,14692,3548,384,108192.79999999999,0,0,6.912000000000004,14414.800000000005,332846.7999999999,47983.600000000006,0,9600,2112,30.09.2022
01.10.2022,01.10.2022,42060,6276,464,9788.399999999998,0,0,6.912000000000004,-90190.40000000005,333101.2,31028.800000000003,0,9600,2112,01.10.2022
02.10.2022,02.10.2022,145224,4456,704,8346.4,0,0,6.912000000000004,-86621.60000000003,368167.2,48240.40000000001,0,9600,2112,02.10.2022
03.10.2022,03.10.2022,232284,5500,384,35802.39999999999,0,0,6.912000000000004,-21962.399999999994,424454,67414.4,0,9600,2112,03.10.2022
04.10.2022,04.10.2022,94200,7024,384,79559.19999999995,0,0,6.912000000000004,46727.200000000004,417504.39999999997,73764.8,0,9600,2112,04.10.2022
05.10.2022,05.10.2022,93744,7184,384,39991.59999999999,0,0,6.912000000000004,-33239.20000000001,458720.7999999998,13325.599999999997,0,9600,2112,05.10.2022
