Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],date
01.01.2022,01.01.2022,188732,2932,13212,9304.800000000003,0,0,6.912000000000004,-52779.600000000006,378339.2,22751.19999999999,0,9600,2112,01.01.2022
02.01.2022,02.01.2022,31964,3600,13440,9230.399999999998,0,0,6.912000000000004,-50072.8,367675.19999999984,17923.600000000002,0,9600,2112,02.01.2022
03.01.2022,03.01.2022,164612,2700,13056,92442.00000000001,0,0,6.912000000000004,23439.59999999999,321580,21018.39999999999,0,9600,2112,03.01.2022
04.01.2022,04.01.2022,91260,2224,12924,147179.59999999998,0,0,6.912000000000004,65022.00000000003,308148.40000000014,37746.399999999994,0,9600,2112,04.01.2022
05.01.2022,05.01.2022,131072,1168,12152,101117.99999999997,0,0,6.912000000000004,6939.600000000001,326447.19999999984,24828.399999999998,0,9600,2112,05.01.2022
06.01.2022,06.01.2022,185656,3400,12160,142030.80000000002,0,0,6.912000000000004,48217.19999999999,313434.80000000016,28018.4,0,9600,2112,06.01.2022
07.01.2022,07.01.2022,58148,4216,12204,161390.80000000002,0,0,6.912000000000004,4022.4000000000133,293088,21630,0,9600,2112,07.01.2022
08.01.2022,08.01.2022,39408,2768,12288,189245.20000000004,0,0,6.912000000000004,-24635.19999999999,268635.19999999995,11402.800000000007,0,9600,2112,08.01.2022
09.01.2022,09.01.2022,42424,2524,12288,147007.6,0,0,6.912000000000004,-33356.00000000002,264430.4000000001,18764.800000000003,0,9600,2112,09.01.2022
10.01.2022,10.01.2022,110028,2644,11904,245373.9999999999,0,0,6.912000000000004,85787.20000000004,248913.99999999994,50321.599999999984,0,9600,2112,10.01.2022
11.01.2022,11.01.2022,218204,4064,11904,306711.60000000003,0,0,6.912000000000004,-9287.20000000001,235994.00000000012,40094.79999999999,0,9600,2112,11.01.2022
12.01.2022,12.01.2022,169228,4032,12288,273288.00000000006,0,0,6.912000000000004,38940.80000000002,231167.20000000004,50311.99999999997,0,9600,2112,12.01.2022
13.01.2022,13.01.2022,124608,3600,12496,267406.79999999993,0,0,6.912000000000004,-2082.399999999987,219412.80000000005,31188.8,0,9600,2112,13.01.2022
14.01.2022,14.01.2022,210460,4652,12672,253171.2,0,0,6.912000000000004,49194.80000000001,213596.4,44161.59999999999,0,9600,2112,14.01.2022
15.01.2022,15.01.2022,82120,4176,12672,247534.4,0,0,6.912000000000004,66338.40000000001,211643.59999999992,38565.20000000001,0,9600,2112,15.01.2022
16.01.2022,16.01.2022,81228,3896,12460,190386.39999999997,0,0,6.912000000000004,7520.39999999999,208135.2000000001,30586,0,9600,2112,16.01.2022
17.01.2022,17.01.2022,258968,2908,12640,200459.60000000003,0,0,6.912000000000004,14976.000000000025,196952.3999999999,37317.6,0,9600,2112,17.01.2022
18.01.2022,18.01.2022,170508,4192,12604,255407.59999999998,0,0,6.912000000000004,74646.40000000002,197588.8,53735.20000000001,0,9600,2112,18.01.2022
19.01.2022,19.01.2022,34152,4724,12588,305803.99999999994,0,0,6.912000000000004,57310.00000000001,197929.60000000003,31687.999999999996,0,9600,2112,19.01.2022
